,date,title,summary
0,2020.09.11.,"<북리뷰>인류의 풍요, 지구를 벼랑끝으로 몰다","그사이 석탄과 원유 사용량은 2배, 천연가스 사용량은 3배로 늘었다. 석유 정제 과정에서 생기는 플라스틱 생산량도 10배로 증가했다. 문제는 화석연료는 언젠가 고갈된다는 점이다. 우리의 풍요는 영원할 수 없다...."
1,2020.09.14.,"롯데케미칼, 코로나 극복 안간힘···울산 PX 공장 5개월만 재가동",롯데케미칼은 원유정제 과정에서 나온 나프타를 원료로 사용해 총 2개 설비에서 연간 75만톤의 PX를 뽑아낼... 가동 중단까지 일어나면서 생산량은 목표치에 크게 못 미친다. 롯데케미칼 반기보고서에 따르면 이...
2,2020.09.17.,석유비축기지와 종합운동장이 9월 미래유산 된 이유는?,"1973년 10월6일 제4차 중동전쟁이 일어나면서 이 전쟁에 참여한 이집트, 사우디아라비아를 중심으로 여러 중동국이 단합해 석유 생산량을 줄였고, 그 결과 국제 원유 가격은 치솟았다. 1973년 10월 3달러 수준이던 국제..."
3,2020.09.18.,[최지웅의 석유패권전쟁] 셰일이 갈라놓은 운명…美英 각자의 길로,비슷한 시기인 2001년 미국 정부도 미국의 원유 생산량이 지속적으로 감소해 2020년에는 자국 수요의 30%도 충당하지 못할 것으로 전망했다. (물론 이런 예측은 2010년 셰일 혁명으로 인해 모두 빗나갔다.) 양국이 미래에...
4,2020.09.18.,"사우디 ""지옥에서처럼 비명 나오게 해주겠다""…산유국 군기잡기","OPEC+는 올해 5월부터 하루 원유 생산량을 970만배럴 줄이기로 했었다. 이후 감산 규모는 770만배럴로 줄어들었지만, 줄곧 일부 국가에서 약속된 감산을 제대로 이행하지 않는다는 지적이 있었다. 국제에너지기구(IEA)에..."
5,2020.09.21.,"""재고 넘쳐난다""…감산 나선 글로벌 정유사",이후 코로나19 봉쇄 조치가 조금씩 풀리면서 지난달까지 생산량을 점진적으로 늘렸다. 이로 인해 최근 몇 주 동안 원유 재고가 늘어나고 수요 부족 현상이 생기면서 유가가 다시 급락했다. 지난달 25일 배럴당 43달러를...
6,2020.09.24.,[광장]한국의 농장이 세계를 만나는 방법,"글로벌 IT 기업들은 빅데이터, 클라우드, 인공지능(AI)를 결합해 단위 생산량을 끌어올리고 품질을 높이는데... 또한 착유하자마자 즉시 냉각한 원유는 290여 가지 항목을 테스트를 거친 후에 우유 공장에 입고하는 등..."
7,2020.09.29.,석유시장 패러다임이 변한다,"산유업체가 생산량의 상당 부분을 지배하고 있는 것을 감안하면, 의외로 공급량은 견고해질 것이다. 적이면서 동지인 산유국 간 새로운 장기 쟁탈전은 아직 시작되지 않았지만 충분히 일어날 수 있는 일이다. 원유시장..."
8,2020.09.29.,코로나 재확산 변수...'2차 오일전쟁' 발발 우려,다시 거세진 코로나 ━ 27일(현지시간) 블룸버그통신은 유럽에서의 코로나19 재확산 등으로 원유 수요가... 이후 지난 7월까지 이 조치를 연장하기로 했다가 지난달부터는 다시 생산량을 200만배럴 늘렸다. 내년부터는 또...
9,2020.10.04.,"쌓여가는 플라스틱 山…""수거중단 대란 올수도""",플라스틱 제조의 주원료인 원유 가격이 큰 폭으로 떨어져 새 플라스틱 제품 가격 역시 싸졌기 때문이다. 새... 4일 한국석유화학협회에 따르면 국내 플라스틱 생산량은 2012년 1253만t에서 지난해 1445만t으로 192만t 늘어난...
10,2020.09.11.,"<북리뷰>인류의 풍요, 지구를 벼랑끝으로 몰다","그사이 석탄과 원유 사용량은 2배, 천연가스 사용량은 3배로 늘었다. 석유 정제 과정에서 생기는 플라스틱 생산량도 10배로 증가했다. 문제는 화석연료는 언젠가 고갈된다는 점이다. 우리의 풍요는 영원할 수 없다...."
