,date,title,summary
0,2019.09.10.,美 셰일유전 세일… 한국도 지갑 여나,"셰일 생산량 2위·5위에 올라 국내 전문가들 ""우리도 확보해야"" 세계 에너지 패권(覇權)을 좌우할 미국 셰일... 그러나 셰일 혁명으로 국제시장에서 원유 공급이 넘쳐나면서 2014년 100달러를 넘었던 유가는 2015년 이후 25..."
1,2019.09.10.,UAE 할리바 유전 원유 10만배럴 여수항 도착,"할리바 유전은 최대 4만배럴까지 생산량을 늘릴 계획이다. 이 중 한국컨소시엄은 40%(1만6000배럴) 지분이 있어 연간 최대 580만배럴의 원유를 국내로 직도입할 수 있다. 석유공사 관계자는 ""석유공급 위기시 국내기업이..."
2,2019.09.11.,[WT논평] Can we deplete all our natural resources? (3),미국의 하루 원유 생산량은 2008년의 500만배럴에서 2배로 늘어나 오늘날 1200만배럴을 넘었다. 미국의 천연가스 생산 또한 지난 10년 동안 2배로 증가했다. 1980년부터...
3,2019.09.11.,경유마진 상승에 한숨 돌린 정유사,전망치의 상단인 63달러를 넘어서기 힘들것으로 업계는 내다보고 있다. 글로벌 경기 둔화와 교역 감소로 단기간 내에 원유수요 회복을 기대하기 어려운데다 미국 원유생산량이 증가하는 것도 한 몫하고 있기 때문이다.
4,2019.09.15.,사우디 최대 석유시설 `피폭` … 세계 에너지시장 `非常`,"지난달 기준 석유수출국기구(OPEC) 자료에 따르면 사우디의 원유 생산량은 하루 980만 배럴이다. OPEC 전문가인 시장조사업체 IHS의 로저 디완 부사장은 아브카이크 단지를 석유 수급 체제에 있어 ""심장과 같다""며 이번..."
5,2019.09.15.,"원유생산 '절반' 멈춘 사우디…美,'석유 패권' 장악하나",[사우디 드론 공격에 하루 원유 생산량 절반 차질...美 비축유 공급·산유국 제재 완화 카드등 영향력 확대 기회 ] 미국과 중동간 '석유패권' 경쟁이 미국으로 완전히 넘어갈 수 있다는 전망이 나온다. 사우디아라비아가...
6,2019.09.15.,"사우디 석유시설 '드론 테러'…""유가 단숨에 10달러 뛸수도""","이번 공격으로 사우디 하루 원유 생산량의 절반가량, 세계 원유 생산량의 5% 이상이 차질을 빚게 됐다. 14일(현지시간) 월스트리트저널(WSJ) 등 외신들은 사우디 동부 아브카이크 탈황 석유시설과 쿠라이스 유전이 이날..."
7,2019.09.15.,"사우디 생산량 절반 '타격'…""美·이란 전쟁 땐 유가 100弗까지 급등""","압둘아지즈 장관에 따르면 아람코는 이번 공격으로 인해 하루평균 원유 약 570만 배럴 생산이 타격을 받게 됐다. 하루평균 기준 사우디 산유량의 절반 이상, 세계 원유 공급량의 5% 이상이다. 사우디는 세계 원유 공급의..."
8,2019.09.15.,"""아람코 심장부 마비···복구 장기화땐 배럴당 100弗"" 전망도",“중동의 지정학이 복수심을 안고 돌아와 원유시장을 강타할 것이다.” (블룸버그통신) 미국에 이어 세계... 다만 며칠 내에 상당한 규모의 석유 생산량을 회복할 수는 있을 것이라고 덧붙였다. 미국 휴스턴 소재 컨설팅...
9,2019.09.15.,"국내 정유사 ""수급 문제 없지만 원가상승은 부담""",사우디는 이번 테러로 하루 570만배럴 규모의 원유 생산에 영향이 있을 것으로 예상했다. 사우디 전체 생산량의 절반 수준이다. 국내 정유사 관계자는 “사우디가 세계 최대 원유수출국인 만큼 유가가 급등할 가능성이...
10,2019.09.10.,美 셰일유전 세일… 한국도 지갑 여나,"셰일 생산량 2위·5위에 올라 국내 전문가들 ""우리도 확보해야"" 세계 에너지 패권(覇權)을 좌우할 미국 셰일... 그러나 셰일 혁명으로 국제시장에서 원유 공급이 넘쳐나면서 2014년 100달러를 넘었던 유가는 2015년 이후 25..."
11,2019.09.10.,UAE 할리바 유전 원유 10만배럴 여수항 도착,"할리바 유전은 최대 4만배럴까지 생산량을 늘릴 계획이다. 이 중 한국컨소시엄은 40%(1만6000배럴) 지분이 있어 연간 최대 580만배럴의 원유를 국내로 직도입할 수 있다. 석유공사 관계자는 ""석유공급 위기시 국내기업이..."
12,2019.09.11.,[WT논평] Can we deplete all our natural resources? (3),미국의 하루 원유 생산량은 2008년의 500만배럴에서 2배로 늘어나 오늘날 1200만배럴을 넘었다. 미국의 천연가스 생산 또한 지난 10년 동안 2배로 증가했다. 1980년부터...
13,2019.09.11.,경유마진 상승에 한숨 돌린 정유사,전망치의 상단인 63달러를 넘어서기 힘들것으로 업계는 내다보고 있다. 글로벌 경기 둔화와 교역 감소로 단기간 내에 원유수요 회복을 기대하기 어려운데다 미국 원유생산량이 증가하는 것도 한 몫하고 있기 때문이다.
14,2019.09.15.,사우디 최대 석유시설 `피폭` … 세계 에너지시장 `非常`,"지난달 기준 석유수출국기구(OPEC) 자료에 따르면 사우디의 원유 생산량은 하루 980만 배럴이다. OPEC 전문가인 시장조사업체 IHS의 로저 디완 부사장은 아브카이크 단지를 석유 수급 체제에 있어 ""심장과 같다""며 이번..."
15,2019.09.15.,"원유생산 '절반' 멈춘 사우디…美,'석유 패권' 장악하나",[사우디 드론 공격에 하루 원유 생산량 절반 차질...美 비축유 공급·산유국 제재 완화 카드등 영향력 확대 기회 ] 미국과 중동간 '석유패권' 경쟁이 미국으로 완전히 넘어갈 수 있다는 전망이 나온다. 사우디아라비아가...
