,date,title,summary
0,2018.11.12.,기름값 다시 오를까… OPEC 내년 감산 시사,"[사우디, 다음 달부터 원유 수출 하루 50만배럴 감축…러시아 등 동참 여부 확정 안 돼] 국제 유가가 약세장에 진입한 가운데 석유수출국기구(OPEC)가 내년부터 원유 생산량을 줄일 수 있음을 시사했다. 공급 과잉으로..."
1,2018.11.12.,‘감산 vs 증산’…원유시장 혼돈,"사우디는 이에 불만을 나타냈으나, 자국 왕실이 지난달 2일 언론인 자말 카슈끄지 피살 사건의 배후로 몰리자 일일 원유 생산량을 100만배럴 증산하겠다고 발표했다. 국제 사회의 비난이 높아지는 가운데 미국의..."
2,2018.11.12.,"사우디의 변심 ""하루 50만배럴씩 원유 감산""","사우디의 지난달 하루 평균 원유 생산량은 10월 기준 1070만배럴이었다. 알팔리 장관은 이날 회의에서 ""최근의 유가 급락은 놀라운 수준이다. 시장의 심리는 공급 부족을 걱정하는 데서 과잉 공급을 우려하는 쪽으로..."
3,2018.11.12.,"“원유 증산”선언 사우디, 유가폭락에 결국 ‘감산’","日평균 50만배럴 축소 미국의 중간선거, 이란산 원유 수출 제재 등을 앞두고 증산을 선언했던 사우디아라비아가 예상과 달리 국제유가 하락이 이어지자 12월부터 원유 생산량을 하루 평균 50만 배럴 축소하기로 했다...."
4,2018.11.12.,"'유가 하락은 안돼'…OPEC 회원국들, 감산 카드 '만지작'","사우디의 지난달 하루 평균 원유 생산량은 10월 기준 1070만배럴이었다. 표면적인 이유로는 수급 균형을 맞추기 위한 것이라고 설명했지만, 미국 선거가 끝난 만큼 도널드 트럼프 미국 대통령을 덜 의식해도 된다는..."
5,2018.11.12.,"증산 한다던 사우디 ""내달부터 50만 배럴 감산""",사우디의 하루 평균 원유 생산량은 10월 기준 1070만 배럴 정도다. 사우디의 감산 계획에 다른 산유국들이 동참할 경우 유가는 다시 오름세를 탈 것으로 전망된다. 앞서 석유수출국기구OPEC와 비회원 주요 산유국은 2016년...
6,2018.11.12.,"사우디 원유 감산, 러시아가 웃는다","러시아산 원유 수요 증가 전망 이미 유럽 정유사들은 물량 대체 11월 석유값 폭락을 이기지 못한... 최근 석유 생산량을 급격히 늘리고 있기 때문에 감산에 회의적이지만, 그간 산유국 회의 결정에 보조를 맞춰 왔다는..."
7,2018.11.12.,"유가 하락에 주판알 튕기는 OPEC…사우디, 감산카드 던져(종합)","사우디의 지난달 하루 평균 원유 생산량은 10월 기준 1070만배럴이었다. 사우디는 이번 감산 계획에 대해 아직 오펙과는 합의된 것은 아니라고 밝혔지만, 오펙의 종주국인 만큼 내달 초 예정된 오펙 회의 결정에도 영향을..."
8,2018.11.12.,"원유 감산으로 선회한 사우디...러, 거센 반발",“고유가는 원치 않는다”는 도널드 트럼프 미 대통령의 증산 압박에 원유 생산량을 늘리겠다던 사우디가 돌연 입장을 바꾼 것은 그만큼 최근 유가 하락에 대한 우려가 컸다는 분석이다. 석유수출국기구(OPEC)의...
9,2018.11.12.,"한 달 만에 증산→감산…사우디, 美 눈치작전 끝?","OPEC, 100만배럴 감산 협의 내달 원유생산량 조정 전까진 국제유가 더 떨어질수도 [ 설지연 기자 ] 사우디아라비아가 다음달부터 원유 생산량을 하루 평균 50만배럴 줄이겠다고 선언하면서 다른 산유국도 감산에..."
10,2018.11.12.,기름값 다시 오를까… OPEC 내년 감산 시사,"[사우디, 다음 달부터 원유 수출 하루 50만배럴 감축…러시아 등 동참 여부 확정 안 돼] 국제 유가가 약세장에 진입한 가운데 석유수출국기구(OPEC)가 내년부터 원유 생산량을 줄일 수 있음을 시사했다. 공급 과잉으로..."
11,2018.11.12.,‘감산 vs 증산’…원유시장 혼돈,"사우디는 이에 불만을 나타냈으나, 자국 왕실이 지난달 2일 언론인 자말 카슈끄지 피살 사건의 배후로 몰리자 일일 원유 생산량을 100만배럴 증산하겠다고 발표했다. 국제 사회의 비난이 높아지는 가운데 미국의..."
12,2018.11.12.,"사우디의 변심 ""하루 50만배럴씩 원유 감산""","사우디의 지난달 하루 평균 원유 생산량은 10월 기준 1070만배럴이었다. 알팔리 장관은 이날 회의에서 ""최근의 유가 급락은 놀라운 수준이다. 시장의 심리는 공급 부족을 걱정하는 데서 과잉 공급을 우려하는 쪽으로..."
13,2018.11.12.,"“원유 증산”선언 사우디, 유가폭락에 결국 ‘감산’","日평균 50만배럴 축소 미국의 중간선거, 이란산 원유 수출 제재 등을 앞두고 증산을 선언했던 사우디아라비아가 예상과 달리 국제유가 하락이 이어지자 12월부터 원유 생산량을 하루 평균 50만 배럴 축소하기로 했다...."
14,2018.11.12.,"'유가 하락은 안돼'…OPEC 회원국들, 감산 카드 '만지작'","사우디의 지난달 하루 평균 원유 생산량은 10월 기준 1070만배럴이었다. 표면적인 이유로는 수급 균형을 맞추기 위한 것이라고 설명했지만, 미국 선거가 끝난 만큼 도널드 트럼프 미국 대통령을 덜 의식해도 된다는..."
15,2018.11.12.,"증산 한다던 사우디 ""내달부터 50만 배럴 감산""",사우디의 하루 평균 원유 생산량은 10월 기준 1070만 배럴 정도다. 사우디의 감산 계획에 다른 산유국들이 동참할 경우 유가는 다시 오름세를 탈 것으로 전망된다. 앞서 석유수출국기구OPEC와 비회원 주요 산유국은 2016년...
16,2018.11.12.,"사우디 원유 감산, 러시아가 웃는다","러시아산 원유 수요 증가 전망 이미 유럽 정유사들은 물량 대체 11월 석유값 폭락을 이기지 못한... 최근 석유 생산량을 급격히 늘리고 있기 때문에 감산에 회의적이지만, 그간 산유국 회의 결정에 보조를 맞춰 왔다는..."
17,2018.11.12.,"유가 하락에 주판알 튕기는 OPEC…사우디, 감산카드 던져(종합)","사우디의 지난달 하루 평균 원유 생산량은 10월 기준 1070만배럴이었다. 사우디는 이번 감산 계획에 대해 아직 오펙과는 합의된 것은 아니라고 밝혔지만, 오펙의 종주국인 만큼 내달 초 예정된 오펙 회의 결정에도 영향을..."
18,2018.11.12.,"원유 감산으로 선회한 사우디...러, 거센 반발",“고유가는 원치 않는다”는 도널드 트럼프 미 대통령의 증산 압박에 원유 생산량을 늘리겠다던 사우디가 돌연 입장을 바꾼 것은 그만큼 최근 유가 하락에 대한 우려가 컸다는 분석이다. 석유수출국기구(OPEC)의...
19,2018.11.12.,"한 달 만에 증산→감산…사우디, 美 눈치작전 끝?","OPEC, 100만배럴 감산 협의 내달 원유생산량 조정 전까진 국제유가 더 떨어질수도 [ 설지연 기자 ] 사우디아라비아가 다음달부터 원유 생산량을 하루 평균 50만배럴 줄이겠다고 선언하면서 다른 산유국도 감산에..."
20,2018.11.12.,기름값 다시 오를까… OPEC 내년 감산 시사,"[사우디, 다음 달부터 원유 수출 하루 50만배럴 감축…러시아 등 동참 여부 확정 안 돼] 국제 유가가 약세장에 진입한 가운데 석유수출국기구(OPEC)가 내년부터 원유 생산량을 줄일 수 있음을 시사했다. 공급 과잉으로..."
21,2018.11.12.,‘감산 vs 증산’…원유시장 혼돈,"사우디는 이에 불만을 나타냈으나, 자국 왕실이 지난달 2일 언론인 자말 카슈끄지 피살 사건의 배후로 몰리자 일일 원유 생산량을 100만배럴 증산하겠다고 발표했다. 국제 사회의 비난이 높아지는 가운데 미국의..."
22,2018.11.12.,"사우디의 변심 ""하루 50만배럴씩 원유 감산""","사우디의 지난달 하루 평균 원유 생산량은 10월 기준 1070만배럴이었다. 알팔리 장관은 이날 회의에서 ""최근의 유가 급락은 놀라운 수준이다. 시장의 심리는 공급 부족을 걱정하는 데서 과잉 공급을 우려하는 쪽으로..."
23,2018.11.12.,"“원유 증산”선언 사우디, 유가폭락에 결국 ‘감산’","日평균 50만배럴 축소 미국의 중간선거, 이란산 원유 수출 제재 등을 앞두고 증산을 선언했던 사우디아라비아가 예상과 달리 국제유가 하락이 이어지자 12월부터 원유 생산량을 하루 평균 50만 배럴 축소하기로 했다...."
24,2018.11.12.,"'유가 하락은 안돼'…OPEC 회원국들, 감산 카드 '만지작'","사우디의 지난달 하루 평균 원유 생산량은 10월 기준 1070만배럴이었다. 표면적인 이유로는 수급 균형을 맞추기 위한 것이라고 설명했지만, 미국 선거가 끝난 만큼 도널드 트럼프 미국 대통령을 덜 의식해도 된다는..."
25,2018.11.12.,"증산 한다던 사우디 ""내달부터 50만 배럴 감산""",사우디의 하루 평균 원유 생산량은 10월 기준 1070만 배럴 정도다. 사우디의 감산 계획에 다른 산유국들이 동참할 경우 유가는 다시 오름세를 탈 것으로 전망된다. 앞서 석유수출국기구OPEC와 비회원 주요 산유국은 2016년...
26,2018.11.12.,"사우디 원유 감산, 러시아가 웃는다","러시아산 원유 수요 증가 전망 이미 유럽 정유사들은 물량 대체 11월 석유값 폭락을 이기지 못한... 최근 석유 생산량을 급격히 늘리고 있기 때문에 감산에 회의적이지만, 그간 산유국 회의 결정에 보조를 맞춰 왔다는..."
27,2018.11.12.,"유가 하락에 주판알 튕기는 OPEC…사우디, 감산카드 던져(종합)","사우디의 지난달 하루 평균 원유 생산량은 10월 기준 1070만배럴이었다. 사우디는 이번 감산 계획에 대해 아직 오펙과는 합의된 것은 아니라고 밝혔지만, 오펙의 종주국인 만큼 내달 초 예정된 오펙 회의 결정에도 영향을..."
28,2018.11.12.,"원유 감산으로 선회한 사우디...러, 거센 반발",“고유가는 원치 않는다”는 도널드 트럼프 미 대통령의 증산 압박에 원유 생산량을 늘리겠다던 사우디가 돌연 입장을 바꾼 것은 그만큼 최근 유가 하락에 대한 우려가 컸다는 분석이다. 석유수출국기구(OPEC)의...
29,2018.11.12.,"한 달 만에 증산→감산…사우디, 美 눈치작전 끝?","OPEC, 100만배럴 감산 협의 내달 원유생산량 조정 전까진 국제유가 더 떨어질수도 [ 설지연 기자 ] 사우디아라비아가 다음달부터 원유 생산량을 하루 평균 50만배럴 줄이겠다고 선언하면서 다른 산유국도 감산에..."
30,2018.11.12.,기름값 다시 오를까… OPEC 내년 감산 시사,"[사우디, 다음 달부터 원유 수출 하루 50만배럴 감축…러시아 등 동참 여부 확정 안 돼] 국제 유가가 약세장에 진입한 가운데 석유수출국기구(OPEC)가 내년부터 원유 생산량을 줄일 수 있음을 시사했다. 공급 과잉으로..."
31,2018.11.12.,‘감산 vs 증산’…원유시장 혼돈,"사우디는 이에 불만을 나타냈으나, 자국 왕실이 지난달 2일 언론인 자말 카슈끄지 피살 사건의 배후로 몰리자 일일 원유 생산량을 100만배럴 증산하겠다고 발표했다. 국제 사회의 비난이 높아지는 가운데 미국의..."
32,2018.11.12.,"사우디의 변심 ""하루 50만배럴씩 원유 감산""","사우디의 지난달 하루 평균 원유 생산량은 10월 기준 1070만배럴이었다. 알팔리 장관은 이날 회의에서 ""최근의 유가 급락은 놀라운 수준이다. 시장의 심리는 공급 부족을 걱정하는 데서 과잉 공급을 우려하는 쪽으로..."
33,2018.11.12.,"“원유 증산”선언 사우디, 유가폭락에 결국 ‘감산’","日평균 50만배럴 축소 미국의 중간선거, 이란산 원유 수출 제재 등을 앞두고 증산을 선언했던 사우디아라비아가 예상과 달리 국제유가 하락이 이어지자 12월부터 원유 생산량을 하루 평균 50만 배럴 축소하기로 했다...."
34,2018.11.12.,"'유가 하락은 안돼'…OPEC 회원국들, 감산 카드 '만지작'","사우디의 지난달 하루 평균 원유 생산량은 10월 기준 1070만배럴이었다. 표면적인 이유로는 수급 균형을 맞추기 위한 것이라고 설명했지만, 미국 선거가 끝난 만큼 도널드 트럼프 미국 대통령을 덜 의식해도 된다는..."
35,2018.11.12.,"증산 한다던 사우디 ""내달부터 50만 배럴 감산""",사우디의 하루 평균 원유 생산량은 10월 기준 1070만 배럴 정도다. 사우디의 감산 계획에 다른 산유국들이 동참할 경우 유가는 다시 오름세를 탈 것으로 전망된다. 앞서 석유수출국기구OPEC와 비회원 주요 산유국은 2016년...
36,2018.11.12.,"사우디 원유 감산, 러시아가 웃는다","러시아산 원유 수요 증가 전망 이미 유럽 정유사들은 물량 대체 11월 석유값 폭락을 이기지 못한... 최근 석유 생산량을 급격히 늘리고 있기 때문에 감산에 회의적이지만, 그간 산유국 회의 결정에 보조를 맞춰 왔다는..."
